Identificador,Nome,Linhas de Pesquisa,Membros de Corpo Editorial,Revisores de Periódico,Revisores de Projeto de Fomento,Áreas de Atuação
4686246805500174,Elisangela Martins de Sá,"Processos e Sistemas Decisórios em Arranjos Organizacionais, Sistemas inteligentes",0,0,0,"Matemática Aplicada, Matemática Aplicada, Pesquisa Operacional, Álgebra, Matemática Aplicada, Matemática Aplicada"
4687858846001290,Thiago Magela Rodrigues Dias,"Extração de Dados da Web, Recuperação de Informação, Aprendizado de Máquina, Gerencia de Dados na Web, Redes Complexas, Redes Sociais Virtuais, Descoberta de Conhecimento em Grandes Bases de Dados, Pesquisa / Orientação, Desenvolvimento de Sistemas. Análises de dados. Construção e Interoperabilidade de Repositórios de Dados Científicos.",0,0,0,", Biblioteconomia, Biblioteconomia, Metodologia e Técnicas da Computação, Metodologia e Técnicas da Computação, Metodologia e Técnicas da Computação"
4689524726197350,Luis Claudio Gambôa Lopes,"Simuladores de Circuitos, Automação Industrial, Microcontroladores, Internet Embedded",0,0,0,"Circuitos Elétricos, Magnéticos e Eletrônicos, Circuitos Elétricos, Magnéticos e Eletrônicos, Eletrônica Industrial, Sistemas e Controles Eletrônicos, Eletrônica Industrial, Sistemas e Controles Eletrônicos, Sistemas de Computação, Metodologia e Técnicas da Computação"
4690988851462381,Rodrigo Régis Campos Silva,,0,0,0,"Química Inorgânica, Química Geral, Ensino de Química"
4718122363251285,Isac Souza Medeiros,,0,0,0,", Circuitos Elétricos, Magnéticos e Eletrônicos"
4718610941930528,Igor Vieira Santos,,0,0,0,
4726497576831784,Juliana Padilha,,0,0,0,"Engenharia de Software, Engenharia de Usabilidade, Linguagens de Programação, Programação para WEB, Metodologia e Técnicas de Pesquisa, Teoria dos Grafos"
4735655968683726,Mario de Souza Silva,,0,0,0,"Topografia, Mecânicas dos Solos, Fundações e Escavações, Materiais e Componentes de Construção"
4743550066071798,David Mattos Andrade Ávila,,0,0,0,"Eletrônica Industrial, Sistemas e Controles Eletrônicos, Eletrônica Industrial, Sistemas e Controles Eletrônicos, Eletrônica Industrial, Sistemas e Controles Eletrônicos, Eletrônica Industrial, Sistemas e Controles Eletrônicos, Eletrônica Industrial, Sistemas e Controles Eletrônicos"
4750972790873330,Soraya Martins Patrocinio,,0,0,0,", , Teatro"
4756212936246906,Cláudio Parreira Lopes,,0,0,0,"Projetos de Máquinas, Projetos de Máquinas, Processos de Fabricação, Gerência de Produção, Projetos de Máquinas, Projetos de Máquinas"
4758186488124402,Eliane Marchetti Silva Azevedo,"Experiências de ensino e aprendizagem de línguas -, identidade e desenvolvimento de multiletramento - Grupo de pesquisa NALET, Experiências de ensino e aprendizagem de línguas em interface direta com as tecnologias digitais - Grupo de Pesquisa NALET",0,0,0,", "
4775827434264953,Tainá Possas Abreu,,0,0,0,", , Planejamento de Transportes, Transporte Aéreo e Aeroportos, Serviços Urbanos e Regionais"
4793916766896911,Fabia Barboza Heluy Caram,,0,0,0,
4798916827051117,Fabíola Guimarães Pedras Mourthé,,0,0,0,"Literatura Brasileira, Literatura Africana, Literatura Comparada, Teoria Literária"
4801461064304302,Flávio Renato de Góes Padula,Sustentabilidade em obras de Pavimentação,0,0,0,"Materiais Não-Metálicos, Construção Civil, Infra-Estrutura de Transportes"
4803148455328502,Bárbara Marques Barbosa de Carvalho,,0,0,0,Teoria e Análise Lingüística
4816911285862539,Chan Kou Wha,,0,0,0,"Geotécnica, Geotécnica, Infra-Estrutura de Transportes, Estruturas, TRANSPORTES E TRÂNSITO"
4823425536440662,Odilon Soares da Silva,,0,0,0,", Processos de Fabricação, Processos de Fabricação, Processos de Fabricação, Processos de Fabricação, Engenharia de Materiais e Metalúrgica"
4826999848494424,Paulo de Oliveira Lima Júnior,,0,0,0,"Geoinformática, Administração de Empresas, Metodologia e Técnicas da Computação"
4832840362231495,Rachel Jardim Martini,"Estruturas e Restauração de patrimônios históricos, Materiais de Construção",0,0,0,"Estruturas, Construção Civil"
